chr	start	stop	pop
1	10583	1892607	EUR
1	1892607	3582736	EUR
1	3582736	4380811	EUR
1	4380811	5913893	EUR
1	5913893	7247335	EUR
1	7247335	9365199	EUR
1	9365199	10806984	EUR
1	10806984	11777841	EUR
1	11777841	12779466	EUR
1	12779466	14891511	EUR
1	14891511	16897730	EUR
1	16897730	18662899	EUR
1	18662899	20469149	EUR
1	20469149	21736588	EUR
1	21736588	23086883	EUR
1	23086883	23920590	EUR
1	23920590	25516845	EUR
1	25516845	27401867	EUR
1	27401867	30161881	EUR
1	30161881	32438685	EUR
1	32438685	34799758	EUR
1	34799758	37549183	EUR
1	37549183	38731847	EUR
1	38731847	40200567	EUR
1	40200567	41975327	EUR
1	41975327	43758457	EUR
1	43758457	44969183	EUR
1	44969183	46899501	EUR
1	46899501	48002576	EUR
1	48002576	48978188	EUR
1	48978188	49894177	EUR
1	49894177	51713726	EUR
1	51713726	54226262	EUR
1	54226262	56413117	EUR
1	56413117	57021728	EUR
1	57021728	58865399	EUR
1	58865399	59890409	EUR
1	59890409	61922365	EUR
1	61922365	63455089	EUR
1	63455089	65041704	EUR
1	65041704	66939404	EUR
1	66939404	68477895	EUR
1	68477895	69687616	EUR
1	69687616	71372470	EUR
1	71372470	71684405	EUR
1	71684405	74326907	EUR
1	74326907	76728135	EUR
1	76728135	79661198	EUR
1	79661198	81354191	EUR
1	81354191	83991748	EUR
1	83991748	84844495	EUR
1	84844495	86454751	EUR
1	86454751	88128631	EUR
1	88128631	90066303	EUR
1	90066303	91886317	EUR
1	91886317	93536459	EUR
1	93536459	94506191	EUR
1	94506191	96150893	EUR
1	96150893	97885249	EUR
1	97885249	99800604	EUR
1	99800604	100826405	EUR
1	100826405	102041016	EUR
1	102041016	102898745	EUR
1	102898745	103914211	EUR
1	103914211	106087842	EUR
1	106087842	108409665	EUR
1	108409665	110303931	EUR
1	110303931	111741737	EUR
1	111741737	113273306	EUR
1	113273306	114873845	EUR
1	114873845	115880593	EUR
1	115880593	118839067	EUR
1	118839067	144977494	EUR
1	144977494	148361253	EUR
1	148361253	151538881	EUR
1	151538881	153180829	EUR
1	153180829	154770403	EUR
1	154770403	156336133	EUR
1	156336133	158027412	EUR
1	158027412	159913048	EUR
1	159913048	162346721	EUR
1	162346721	165191702	EUR
1	165191702	166460517	EUR
1	166460517	169086324	EUR
1	169086324	170557776	EUR
1	170557776	173097907	EUR
1	173097907	175089768	EUR
1	175089768	177433381	EUR
1	177433381	178944309	EUR
1	178944309	178954470	EUR
1	178954470	181144121	EUR
1	181144121	182755356	EUR
1	182755356	184595513	EUR
1	184595513	186810023	EUR
1	186810023	188759945	EUR
1	188759945	189904130	EUR
1	189904130	191868930	EUR
1	191868930	194107442	EUR
1	194107442	196176201	EUR
1	196176201	197311514	EUR
1	197311514	199239884	EUR
1	199239884	200137649	EUR
1	200137649	201589975	EUR
1	201589975	203334734	EUR
1	203334734	204681068	EUR
1	204681068	206073265	EUR
1	206073265	208410364	EUR
1	208410364	210787750	EUR
1	210787750	212842330	EUR
1	212842330	214578266	EUR
1	214578266	216243634	EUR
1	216243634	218705513	EUR
1	218705513	219590571	EUR
1	219590571	221858231	EUR
1	221858231	222230220	EUR
1	222230220	224938520	EUR
1	224938520	226810860	EUR
1	226810860	229156248	EUR
1	229156248	230685255	EUR
1	230685255	232090252	EUR
1	232090252	233429284	EUR
1	233429284	234599434	EUR
1	234599434	235819436	EUR
1	235819436	237555628	EUR
1	237555628	238567807	EUR
1	238567807	239925314	EUR
1	239925314	240564091	EUR
1	240564091	241582220	EUR
1	241582220	242071602	EUR
1	242071602	244109499	EUR
1	244109499	245506746	EUR
1	245506746	247344518	EUR
1	247344518	249239466	EUR
2	10133	1781022	EUR
2	1781022	3973779	EUR
2	3973779	5708337	EUR
2	5708337	6836254	EUR
2	6836254	8422147	EUR
2	8422147	10298469	EUR
2	10298469	12419150	EUR
2	12419150	14335308	EUR
2	14335308	16329735	EUR
2	16329735	18647423	EUR
2	18647423	19692404	EUR
2	19692404	21050490	EUR
2	21050490	23341383	EUR
2	23341383	24686918	EUR
2	24686918	26894985	EUR
2	26894985	28598777	EUR
2	28598777	29217559	EUR
2	29217559	30463711	EUR
2	30463711	31550450	EUR
2	31550450	33363777	EUR
2	33363777	35345028	EUR
2	35345028	36122006	EUR
2	36122006	38132712	EUR
2	38132712	39031337	EUR
2	39031337	40281483	EUR
2	40281483	43309590	EUR
2	43309590	44313803	EUR
2	44313803	46482634	EUR
2	46482634	47318772	EUR
2	47318772	48213001	EUR
2	48213001	50022257	EUR
2	50022257	50818928	EUR
2	50818928	52491133	EUR
2	52491133	53508452	EUR
2	53508452	54685226	EUR
2	54685226	56203345	EUR
2	56203345	57429100	EUR
2	57429100	58297315	EUR
2	58297315	60292000	EUR
2	60292000	62429044	EUR
2	62429044	64625913	EUR
2	64625913	65933444	EUR
2	65933444	67226166	EUR
2	67226166	68010176	EUR
2	68010176	69139564	EUR
2	69139564	70755198	EUR
2	70755198	73174848	EUR
2	73174848	75630086	EUR
2	75630086	76913661	EUR
2	76913661	78079264	EUR
2	78079264	80050403	EUR
2	80050403	81620841	EUR
2	81620841	85140680	EUR
2	85140680	88038507	EUR
2	88038507	89154526	EUR
2	89154526	95326452	EUR
2	95326452	98995201	EUR
2	98995201	101822329	EUR
2	101822329	102688765	EUR
2	102688765	103588215	EUR
2	103588215	105125034	EUR
2	105125034	106210058	EUR
2	106210058	107408267	EUR
2	107408267	108429177	EUR
2	108429177	110572432	EUR
2	110572432	113921856	EUR
2	113921856	116772470	EUR
2	116772470	118367466	EUR
2	118367466	121303783	EUR
2	121303783	123302906	EUR
2	123302906	124732250	EUR
2	124732250	125840921	EUR
2	125840921	127373764	EUR
2	127373764	128034347	EUR
2	128034347	129474441	EUR
2	129474441	130067170	EUR
2	130067170	130658085	EUR
2	130658085	133042784	EUR
2	133042784	135158578	EUR
2	135158578	137042794	EUR
2	137042794	138698117	EUR
2	138698117	140100271	EUR
2	140100271	141805351	EUR
2	141805351	142518602	EUR
2	142518602	144519484	EUR
2	144519484	146445570	EUR
2	146445570	147277162	EUR
2	147277162	150210292	EUR
2	150210292	151731462	EUR
2	151731462	152486782	EUR
2	152486782	154005056	EUR
2	154005056	155391135	EUR
2	155391135	157560635	EUR
2	157560635	158533218	EUR
2	158533218	159577082	EUR
2	159577082	161769733	EUR
2	161769733	163503551	EUR
2	163503551	164466638	EUR
2	164466638	165178840	EUR
2	165178840	167160270	EUR
2	167160270	167355970	EUR
2	167355970	169968236	EUR
2	169968236	171226245	EUR
2	171226245	173138905	EUR
2	173138905	175588929	EUR
2	175588929	177363636	EUR
2	177363636	178553183	EUR
2	178553183	181312739	EUR
2	181312739	182266031	EUR
2	182266031	184357608	EUR
2	184357608	185280173	EUR
2	185280173	189882065	EUR
2	189882065	191973357	EUR
2	191973357	195861164	EUR
2	195861164	196447456	EUR
2	196447456	198078110	EUR
2	198078110	199311125	EUR
2	199311125	201576284	EUR
2	201576284	202818637	EUR
2	202818637	205799241	EUR
2	205799241	206735704	EUR
2	206735704	208645399	EUR
2	208645399	209941529	EUR
2	209941529	212379518	EUR
2	212379518	214014282	EUR
2	214014282	215573795	EUR
2	215573795	217715661	EUR
2	217715661	218395480	EUR
2	218395480	220454551	EUR
2	220454551	222521176	EUR
2	222521176	224859419	EUR
2	224859419	225840004	EUR
2	225840004	228119842	EUR
2	228119842	229370787	EUR
2	229370787	231843389	EUR
2	231843389	233550003	EUR
2	233550003	235150987	EUR
2	235150987	236043550	EUR
2	236043550	237449032	EUR
2	237449032	238760981	EUR
2	238760981	239952643	EUR
2	239952643	241560084	EUR
2	241560084	242149921	EUR
2	242149921	243188920	EUR
3	60157	1441779	EUR
3	1441779	2992120	EUR
3	2992120	4431647	EUR
3	4431647	6083183	EUR
3	6083183	7083387	EUR
3	7083387	8648561	EUR
3	8648561	9543183	EUR
3	9543183	11019665	EUR
3	11019665	13070799	EUR
3	13070799	14816900	EUR
3	14816900	16282442	EUR
3	16282442	17891118	EUR
3	17891118	19125144	EUR
3	19125144	20091348	EUR
3	20091348	21643707	EUR
3	21643707	22204244	EUR
3	22204244	23804865	EUR
3	23804865	25461558	EUR
3	25461558	26877769	EUR
3	26877769	27840910	EUR
3	27840910	29142260	EUR
3	29142260	30717955	EUR
3	30717955	32351715	EUR
3	32351715	33255592	EUR
3	33255592	35283458	EUR
3	35283458	36486842	EUR
3	36486842	38356116	EUR
3	38356116	40221298	EUR
3	40221298	41064528	EUR
3	41064528	42540002	EUR
3	42540002	45165153	EUR
3	45165153	46657500	EUR
3	46657500	47727212	EUR
3	47727212	49316972	EUR
3	49316972	51832015	EUR
3	51832015	54081390	EUR
3	54081390	55348860	EUR
3	55348860	56433907	EUR
3	56433907	58157519	EUR
3	58157519	60272906	EUR
3	60272906	62355666	EUR
3	62355666	63669286	EUR
3	63669286	65273538	EUR
3	65273538	66270447	EUR
3	66270447	68286914	EUR
3	68286914	69276762	EUR
3	69276762	70449028	EUR
3	70449028	72529329	EUR
3	72529329	74321817	EUR
3	74321817	75704949	EUR
3	75704949	77508835	EUR
3	77508835	79024541	EUR
3	79024541	81427310	EUR
3	81427310	82643886	EUR
3	82643886	84367479	EUR
3	84367479	85582231	EUR
3	85582231	87409732	EUR
3	87409732	88298373	EUR
3	88298373	94255316	EUR
3	94255316	95311971	EUR
3	95311971	98215950	EUR
3	98215950	99373762	EUR
3	99373762	100592217	EUR
3	100592217	103084960	EUR
3	103084960	104581613	EUR
3	104581613	106982811	EUR
3	106982811	109522395	EUR
3	109522395	110513770	EUR
3	110513770	112815699	EUR
3	112815699	113947863	EUR
3	113947863	115447080	EUR
3	115447080	116800153	EUR
3	116800153	118530251	EUR
3	118530251	120523055	EUR
3	120523055	121974097	EUR
3	121974097	123517768	EUR
3	123517768	124936642	EUR
3	124936642	126214943	EUR
3	126214943	128194861	EUR
3	128194861	130244735	EUR
3	130244735	131836516	EUR
3	131836516	133252173	EUR
3	133252173	135456906	EUR
3	135456906	137371083	EUR
3	137371083	139954597	EUR
3	139954597	141339097	EUR
3	141339097	143164628	EUR
3	143164628	144410816	EUR
3	144410816	145664619	EUR
3	145664619	146726629	EUR
3	146726629	149043237	EUR
3	149043237	150252004	EUR
3	150252004	151348730	EUR
3	151348730	153256571	EUR
3	153256571	154714218	EUR
3	154714218	156008700	EUR
3	156008700	157312028	EUR
3	157312028	159477890	EUR
3	159477890	161524504	EUR
3	161524504	163253205	EUR
3	163253205	165055469	EUR
3	165055469	167117429	EUR
3	167117429	168580960	EUR
3	168580960	170964909	EUR
3	170964909	172295731	EUR
3	172295731	173477285	EUR
3	173477285	175116539	EUR
3	175116539	176320287	EUR
3	176320287	178107165	EUR
3	178107165	179374586	EUR
3	179374586	181511166	EUR
3	181511166	183769683	EUR
3	183769683	185068255	EUR
3	185068255	186890344	EUR
3	186890344	188856214	EUR
3	188856214	190226607	EUR
3	190226607	192343814	EUR
3	192343814	194059671	EUR
3	194059671	194786674	EUR
3	194786674	195971408	EUR
3	195971408	197075987	EUR
3	197075987	197946622	EUR
4	10240	694715	EUR
4	694715	1478711	EUR
4	1478711	2842979	EUR
4	2842979	3846040	EUR
4	3846040	4684116	EUR
4	4684116	5502388	EUR
4	5502388	6773043	EUR
4	6773043	7539692	EUR
4	7539692	8152235	EUR
4	8152235	9326479	EUR
4	9326479	10699152	EUR
4	10699152	12323034	EUR
4	12323034	14272001	EUR
4	14272001	15147446	EUR
4	15147446	15927009	EUR
4	15927009	17383322	EUR
4	17383322	18841874	EUR
4	18841874	20544557	EUR
4	20544557	22319347	EUR
4	22319347	24135529	EUR
4	24135529	25609322	EUR
4	25609322	27343722	EUR
4	27343722	27965868	EUR
4	27965868	29762208	EUR
4	29762208	30454535	EUR
4	30454535	31782981	EUR
4	31782981	33172766	EUR
4	33172766	35151415	EUR
4	35151415	36020436	EUR
4	36020436	37255047	EUR
4	37255047	38907022	EUR
4	38907022	40202609	EUR
4	40202609	42213058	EUR
4	42213058	43965045	EUR
4	43965045	45189157	EUR
4	45189157	47411896	EUR
4	47411896	48123600	EUR
4	48123600	53877433	EUR
4	53877433	55429556	EUR
4	55429556	56547644	EUR
4	56547644	58935008	EUR
4	58935008	60741087	EUR
4	60741087	62371763	EUR
4	62371763	64341001	EUR
4	64341001	66600492	EUR
4	66600492	68059497	EUR
4	68059497	68854765	EUR
4	68854765	71049152	EUR
4	71049152	72140558	EUR
4	72140558	74592390	EUR
4	74592390	77130707	EUR
4	77130707	79093979	EUR
4	79093979	80990297	EUR
4	80990297	82125315	EUR
4	82125315	83372593	EUR
4	83372593	84799656	EUR
4	84799656	86930609	EUR
4	86930609	87534648	EUR
4	87534648	89238028	EUR
4	89238028	90231564	EUR
4	90231564	91560677	EUR
4	91560677	94233299	EUR
4	94233299	96182188	EUR
4	96182188	97540703	EUR
4	97540703	99424067	EUR
4	99424067	100678360	EUR
4	100678360	103221356	EUR
4	103221356	105305294	EUR
4	105305294	107501305	EUR
4	107501305	108815348	EUR
4	108815348	111256567	EUR
4	111256567	113870102	EUR
4	113870102	115666246	EUR
4	115666246	117276929	EUR
4	117276929	118479918	EUR
4	118479918	119933512	EUR
4	119933512	120392684	EUR
4	120392684	122657987	EUR
4	122657987	124286481	EUR
4	124286481	125210862	EUR
4	125210862	126480886	EUR
4	126480886	127275477	EUR
4	127275477	127830293	EUR
4	127830293	128996665	EUR
4	128996665	130591885	EUR
4	130591885	131283821	EUR
4	131283821	132954033	EUR
4	132954033	134628434	EUR
4	134628434	136566407	EUR
4	136566407	138541971	EUR
4	138541971	139556511	EUR
4	139556511	141084631	EUR
4	141084631	143443265	EUR
4	143443265	146178187	EUR
4	146178187	148521873	EUR
4	148521873	150683580	EUR
4	150683580	152782184	EUR
4	152782184	154477641	EUR
4	154477641	155056126	EUR
4	155056126	157485097	EUR
4	157485097	158743718	EUR
4	158743718	161058864	EUR
4	161058864	161826435	EUR
4	161826435	163243679	EUR
4	163243679	164478234	EUR
4	164478234	165823448	EUR
4	165823448	167018858	EUR
4	167018858	167852917	EUR
4	167852917	169676825	EUR
4	169676825	170776510	EUR
4	170776510	172558635	EUR
4	172558635	174264132	EUR
4	174264132	176570716	EUR
4	176570716	178991910	EUR
4	178991910	180122043	EUR
4	180122043	182066807	EUR
4	182066807	183371275	EUR
4	183371275	184929455	EUR
4	184929455	186909090	EUR
4	186909090	188472981	EUR
4	188472981	189693511	EUR
4	189693511	191043594	EUR
5	11940	982252	EUR
5	982252	2132442	EUR
5	2132442	3361941	EUR
5	3361941	4632110	EUR
5	4632110	5973233	EUR
5	5973233	7143218	EUR
5	7143218	8446336	EUR
5	8446336	9718832	EUR
5	9718832	11173271	EUR
5	11173271	13464832	EUR
5	13464832	14757804	EUR
5	14757804	16963613	EUR
5	16963613	18051592	EUR
5	18051592	19917716	EUR
5	19917716	22152073	EUR
5	22152073	23494324	EUR
5	23494324	26184851	EUR
5	26184851	26857604	EUR
5	26857604	27984513	EUR
5	27984513	29714820	EUR
5	29714820	31390249	EUR
5	31390249	33500180	EUR
5	33500180	35048970	EUR
5	35048970	36433954	EUR
5	36433954	38802410	EUR
5	38802410	40287729	EUR
5	40287729	41888710	EUR
5	41888710	43983499	EUR
5	43983499	50163398	EUR
5	50163398	52134622	EUR
5	52134622	53703044	EUR
5	53703044	55417349	EUR
5	55417349	56621102	EUR
5	56621102	57340073	EUR
5	57340073	58524622	EUR
5	58524622	60935907	EUR
5	60935907	61672995	EUR
5	61672995	63218987	EUR
5	63218987	63968304	EUR
5	63968304	65911286	EUR
5	65911286	67850860	EUR
5	67850860	71240456	EUR
5	71240456	73759326	EUR
5	73759326	75798866	EUR
5	75798866	77623332	EUR
5	77623332	79393144	EUR
5	79393144	80481471	EUR
5	80481471	82025648	EUR
5	82025648	83972689	EUR
5	83972689	85767290	EUR
5	85767290	87389991	EUR
5	87389991	88891530	EUR
5	88891530	90422654	EUR
5	90422654	91840542	EUR
5	91840542	93809984	EUR
5	93809984	95963519	EUR
5	95963519	97315601	EUR
5	97315601	99260992	EUR
5	99260992	101578769	EUR
5	101578769	103320005	EUR
5	103320005	104851483	EUR
5	104851483	105893055	EUR
5	105893055	107264196	EUR
5	107264196	108633934	EUR
5	108633934	110821144	EUR
5	110821144	111981562	EUR
5	111981562	113396285	EUR
5	113396285	114830370	EUR
5	114830370	115831047	EUR
5	115831047	117346213	EUR
5	117346213	118608820	EUR
5	118608820	119669042	EUR
5	119669042	120452166	EUR
5	120452166	122556905	EUR
5	122556905	123798100	EUR
5	123798100	125785649	EUR
5	125785649	127344604	EUR
5	127344604	129519025	EUR
5	129519025	132139649	EUR
5	132139649	134777401	EUR
5	134777401	136376050	EUR
5	136376050	139265072	EUR
5	139265072	140645971	EUR
5	140645971	142981248	EUR
5	142981248	144943354	EUR
5	144943354	147181998	EUR
5	147181998	148662624	EUR
5	148662624	150561298	EUR
5	150561298	152867774	EUR
5	152867774	153773088	EUR
5	153773088	155373505	EUR
5	155373505	156628700	EUR
5	156628700	158825698	EUR
5	158825698	159973944	EUR
5	159973944	161482133	EUR
5	161482133	162743908	EUR
5	162743908	163771582	EUR
5	163771582	165642395	EUR
5	165642395	166847740	EUR
5	166847740	168525318	EUR
5	168525318	169505664	EUR
5	169505664	171074292	EUR
5	171074292	172678327	EUR
5	172678327	173642871	EUR
5	173642871	175450595	EUR
5	175450595	177251507	EUR
5	177251507	178413464	EUR
5	178413464	179401244	EUR
5	179401244	180559933	EUR
5	180559933	180885156	EUR
6	73924	1452362	EUR
6	1452362	2458936	EUR
6	2458936	3573593	EUR
6	3573593	4617817	EUR
6	4617817	5791472	EUR
6	5791472	6785207	EUR
6	6785207	7808936	EUR
6	7808936	9020026	EUR
6	9020026	10540317	EUR
6	10540317	11790816	EUR
6	11790816	13209388	EUR
6	13209388	14802924	EUR
6	14802924	17386405	EUR
6	17386405	19207487	EUR
6	19207487	21684065	EUR
6	21684065	22748307	EUR
6	22748307	23936619	EUR
6	23936619	24852275	EUR
6	24852275	25684587	EUR
6	25684587	26791233	EUR
6	26791233	28017819	EUR
6	28017819	28917608	EUR
6	28917608	29737971	EUR
6	29737971	30798168	EUR
6	30798168	31571218	EUR
6	31571218	32682664	EUR
6	32682664	33236497	EUR
6	33236497	35455756	EUR
6	35455756	37572596	EUR
6	37572596	39295677	EUR
6	39295677	40345115	EUR
6	40345115	42038721	EUR
6	42038721	43756169	EUR
6	43756169	45406563	EUR
6	45406563	47311898	EUR
6	47311898	48391125	EUR
6	48391125	50386145	EUR
6	50386145	52210476	EUR
6	52210476	53279102	EUR
6	53279102	55468270	EUR
6	55468270	56105313	EUR
6	56105313	57599465	EUR
6	57599465	61880512	EUR
6	61880512	63552888	EUR
6	63552888	65765742	EUR
6	65765742	67329215	EUR
6	67329215	68849483	EUR
6	68849483	69523448	EUR
6	69523448	71609510	EUR
6	71609510	73450097	EUR
6	73450097	75462003	EUR
6	75462003	77414881	EUR
6	77414881	78957728	EUR
6	78957728	80691170	EUR
6	80691170	81929222	EUR
6	81929222	83127149	EUR
6	83127149	85209989	EUR
